"","player","i","X1","rk","pos","age","tm.x","g","gs","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp","tm.y","avg_salary"
"4009","Scott Machado",2013,16300,272,"PG",22,"HOU",6,0,3.5,0.5,1,0.5,0,0.2,0,0.5,0.8,0.6,0.5,0.3,0.3,1,0,0.2,1,0.3,0,1.3,0,1.3,21,6,0.581,0.167,0.333,0,5.3,44.2,4.8,0,53.8,31,-0.1,0,-0.1,-0.23,-12.2,-2.9,-0.1,"GSW",395829
"4010","Scott Machado",2013,16300,272,"PG",22,"HOU",6,0,3.5,0.5,1,0.5,0,0.2,0,0.5,0.8,0.6,0.5,0.3,0.3,1,0,0.2,1,0.3,0,1.3,0,1.3,21,6,0.581,0.167,0.333,0,5.3,44.2,4.8,0,53.8,31,-0.1,0,-0.1,-0.23,-12.2,-2.9,-0.1,"GSW",2786
"4011","Scotty Hopson",2014,16827,211,"SG",24,"CLE",2,0,3.5,0,2,0,0,1,0,0,1,0,0,0.5,1,0.5,0,0,0.5,0.5,0,0,0,0.5,7,-6.5,0.102,0.5,0.5,0,0,18.8,7.4,0,0,31.1,-0.1,0,-0.1,-0.412,-12.9,-4.3,0,"CLE",1419639
"4012","Sean Kilpatrick",2015,17485,262,"SG",25,"MIN",4,0,18,1.8,5,0.35,1,3.3,0.308,0.8,1.8,0.429,0.45,1,1,1,0.3,1.3,1,0.8,0,0.5,0.8,5.5,72,10,0.506,0.65,0.2,1.5,8.2,8.5,2.1,0,8.4,14.6,0.1,0,0.1,0.033,-0.7,-3,0,"MIN",2984
"4013","Sean Kilpatrick",2016,18112,250,"SG",26,"TOT",31,0,19.9,4,8.7,0.456,1.3,3.7,0.342,2.7,5,0.538,0.528,1.9,2.2,0.896,0.4,1.4,0.9,0.4,0.1,1,1.2,11.1,616,15.6,0.576,0.422,0.248,2.1,8.2,8,1,0.3,9.4,23.8,1,0,1,0.076,1.4,-4.4,-0.2,"DEN",4971
"4014","Sean Kilpatrick",2016,18112,250,"SG",26,"TOT",31,0,19.9,4,8.7,0.456,1.3,3.7,0.342,2.7,5,0.538,0.528,1.9,2.2,0.896,0.4,1.4,0.9,0.4,0.1,1,1.2,11.1,616,15.6,0.576,0.422,0.248,2.1,8.2,8,1,0.3,9.4,23.8,1,0,1,0.076,1.4,-4.4,-0.2,"BKN",4971
"4015","Sean Kilpatrick",2016,18112,250,"SG",26,"TOT",31,0,19.9,4,8.7,0.456,1.3,3.7,0.342,2.7,5,0.538,0.528,1.9,2.2,0.896,0.4,1.4,0.9,0.4,0.1,1,1.2,11.1,616,15.6,0.576,0.422,0.248,2.1,8.2,8,1,0.3,9.4,23.8,1,0,1,0.076,1.4,-4.4,-0.2,"DEN",4971
"4016","Sean Kilpatrick",2016,18112,250,"SG",26,"TOT",31,0,19.9,4,8.7,0.456,1.3,3.7,0.342,2.7,5,0.538,0.528,1.9,2.2,0.896,0.4,1.4,0.9,0.4,0.1,1,1.2,11.1,616,15.6,0.576,0.422,0.248,2.1,8.2,8,1,0.3,9.4,23.8,1,0,1,0.076,1.4,-4.4,-0.2,"BKN",4971
"4017","Sean Kilpatrick",2016,18112,250,"SG",26,"TOT",31,0,19.9,4,8.7,0.456,1.3,3.7,0.342,2.7,5,0.538,0.528,1.9,2.2,0.896,0.4,1.4,0.9,0.4,0.1,1,1.2,11.1,616,15.6,0.576,0.422,0.248,2.1,8.2,8,1,0.3,9.4,23.8,1,0,1,0.076,1.4,-4.4,-0.2,"BKN",750951
"4018","Sean Kilpatrick",2016,18114,250,"SG",26,"BRK",23,0,23.2,5,10.8,0.462,1.5,4.2,0.361,3.5,6.6,0.526,0.532,2.3,2.6,0.898,0.4,1.7,1.1,0.4,0.1,1.2,1.3,13.8,534,16.7,0.578,0.39,0.237,2.1,8.6,8.4,0.9,0.3,8.9,25.2,0.9,0,0.9,0.082,1.8,-4.5,-0.1,"DEN",4971
