fix,Tm,Pos,G,GS,MP,FG,FGA,FG%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
marcingortat,WAS,C,82,82,25.3,3.5,6.8,0.518,0.518,1.3,2.0,0.675,2.2,5.4,7.6,1.8,0.5,0.7,1.2,2.1,8.4,0.546,0.29100000000000004,9.9,24.0,17.0,10.6,1.0,2.6,13.5,15.5,2.4,2.4,4.9,0.113,-1.6,1.9,0.3,1.2
dannygreen,SAS,SG,70,60,25.6,3.1,8.0,0.387,0.49,0.7,0.9,0.769,0.6,3.0,3.6,1.6,0.9,1.1,1.1,1.7,8.6,0.509,0.11599999999999999,2.5,13.0,7.7,8.9,1.8,3.7,11.2,16.6,0.1,2.9,2.9,0.078,-1.1,2.2,1.2,1.4
draymondgreen,GSW,PF,70,70,32.7,4.0,8.8,0.45399999999999996,0.516,1.9,2.5,0.775,1.1,6.6,7.6,7.3,1.4,1.3,2.9,2.6,11.0,0.556,0.27899999999999997,3.9,21.1,13.1,29.0,2.0,3.1,22.5,17.2,2.6,3.4,6.1,0.127,0.4,2.7,3.2,3.0
geraldgreen,HOU,SG,41,2,22.7,4.1,10.1,0.40700000000000003,0.54,1.2,1.5,0.85,0.4,2.9,3.2,0.6,0.6,0.4,0.8,2.1,12.1,0.5660000000000001,0.145,1.8,14.2,8.1,4.3,1.3,1.4,6.6,22.4,1.0,1.0,2.1,0.107,0.5,-2.4,-1.9,0.0
jamychalgreen,MEM,PF,55,54,28.0,4.1,8.9,0.457,0.501,1.5,2.0,0.721,2.7,5.8,8.4,1.4,0.6,0.5,1.4,2.8,10.3,0.53,0.22699999999999998,10.8,24.4,17.4,8.3,1.0,1.5,12.4,17.8,1.3,1.3,2.6,0.079,-1.2,-0.4,-1.5,0.2
jeffgreen,CLE,PF,78,13,23.4,3.8,7.9,0.47700000000000004,0.52,2.6,3.0,0.868,0.8,2.4,3.2,1.3,0.5,0.4,1.0,1.9,10.8,0.5870000000000001,0.379,3.7,11.2,7.6,8.0,1.1,1.6,9.4,19.3,3.1,0.8,3.9,0.10300000000000001,-0.2,-1.7,-1.9,0.1
blakegriffin,TOT,PF,58,58,34.0,7.5,17.2,0.43799999999999994,0.493,4.5,5.7,0.785,1.3,6.1,7.4,5.8,0.7,0.3,2.8,2.4,21.4,0.544,0.331,4.1,19.8,12.0,28.1,1.0,0.8,12.6,28.9,3.2,1.8,4.9,0.12,2.9,-0.1,2.8,2.4
timhardaway,NYK,SG,57,54,33.1,6.3,15.0,0.42100000000000004,0.496,2.6,3.1,0.816,0.6,3.4,3.9,2.7,1.1,0.2,1.6,2.2,17.5,0.5329999999999999,0.209,1.9,11.3,6.6,12.7,1.6,0.5,9.0,23.8,1.6,1.1,2.6,0.067,1.7,-1.8,-0.1,0.9
jamesharden,HOU,SG,72,72,35.4,9.0,20.1,0.449,0.541,8.7,10.1,0.858,0.6,4.8,5.4,8.8,1.8,0.7,4.4,2.3,30.4,0.619,0.502,1.8,15.2,8.6,45.1,2.4,1.7,15.1,36.1,11.6,3.8,15.4,0.289,9.6,1.3,10.9,8.3
mauriceharkless,POR,SF,59,36,21.4,2.5,5.0,0.495,0.5770000000000001,0.7,1.0,0.7120000000000001,0.8,2.0,2.7,0.9,0.8,0.7,0.7,1.7,6.5,0.596,0.19899999999999998,4.0,9.9,7.0,6.0,1.9,2.8,11.0,12.6,1.6,1.7,3.2,0.12300000000000001,-0.2,2.0,1.8,1.2
devinharris,TOT,PG,71,1,18.9,2.6,6.4,0.41200000000000003,0.499,2.0,2.4,0.835,0.2,1.6,1.8,2.1,0.7,0.2,1.1,2.2,8.4,0.563,0.374,1.0,9.8,5.3,16.9,1.8,0.8,12.6,20.2,1.6,0.9,2.5,0.09,-0.1,-1.9,-2.0,0.0
