"","Player","Tm","Pos","G","GS","MP","FG","FGA","FG%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS/G","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","fix"
"21","J.J. Barea\bareajo01","DAL","PG",69,10,23.2,4.4,10,0.439,0.522,1.2,1.5,0.784,0.2,2.7,2.9,6.3,0.5,0,2.1,1.2,11.6,17.8,0.545,0.148,1,13.4,7,45.1,1.1,0.2,16.3,24.9,2.3,1,3.3,0.098,2.4,-2.3,0.1,0.8,"j"
"22","Harrison Barnes\barneha02","DAL","PF",77,77,34.2,7,15.7,0.445,0.494,3.4,4.1,0.827,1,5.1,6.1,2,0.6,0.2,1.5,1.2,18.9,15.8,0.539,0.259,3.1,17.1,9.9,9.9,0.9,0.5,8.1,25.2,2,1.9,3.8,0.07,-0.7,-1.4,-2.1,-0.1,"harrisonbarnes"
"23","Will Barton\bartowi01","DEN","SG",81,40,33.1,5.7,12.7,0.452,0.528,2.2,2.8,0.805,0.9,4.2,5,4.1,1,0.6,1.8,2.1,15.7,16.2,0.562,0.22,3,14.2,8.6,18.5,1.5,1.6,11.7,20.7,4.4,1.8,6.2,0.111,1.6,-0.6,1,2,"willbarton"
"24","Nicolas Batum\batumni01","CHO","SG",64,64,31,4.2,10.2,0.415,0.486,1.7,2,0.831,0.9,3.9,4.8,5.5,1,0.4,2,1.1,11.6,14.4,0.523,0.2,3.1,13.8,8.4,26.2,1.6,1,15.6,18.3,1.7,1.8,3.5,0.084,0.9,0.5,1.4,1.7,"nicolasbatum"
"25","Jerryd Bayless\bayleje01","PHI","SG",39,11,23.7,2.8,6.7,0.416,0.519,0.9,1.1,0.795,0.4,1.7,2.1,1.4,0.6,0.2,1.2,2.3,7.9,7.5,0.546,0.168,1.8,7.3,4.7,8,1.2,0.5,14.1,15.1,0.2,0.9,1.1,0.055,-1.8,-1,-2.7,-0.2,"jerrydbayless"
"26","Aron Baynes\baynear01","BOS","C",81,67,18.3,2.6,5.5,0.471,0.474,0.7,1,0.756,1.6,3.8,5.4,1.1,0.3,0.6,1,2.5,6,12.1,0.502,0.175,9.7,22.1,16,9.6,0.7,2.9,14.3,16.8,0.5,2.5,3,0.097,-3.8,2.1,-1.7,0.1,"aronbaynes"
"27","Kent Bazemore\bazemke01","ATL","SG",65,65,27.5,4.4,10.4,0.42,0.5,2.5,3.1,0.796,0.4,3.4,3.8,3.5,1.5,0.7,2.4,2.3,12.9,14.5,0.547,0.297,1.6,13.9,7.7,20.1,2.7,2.2,17,22.5,0.2,2,2.2,0.059,-0.6,1.1,0.4,1.1,"kentbazemore"
"28","Bradley Beal\bealbr01","WAS","SG",82,82,36.3,8.3,18.1,0.46,0.527,3.6,4.5,0.793,0.7,3.7,4.4,4.5,1.2,0.4,2.6,2,22.6,18.4,0.564,0.248,2.3,11.5,6.9,21,1.6,1.1,11.5,27.6,4.4,2.5,6.9,0.112,2.7,-1,1.7,2.7,"bradleybeal"
"29","Malik Beasley\beaslma01","DEN","SG",62,0,9.4,1.2,2.9,0.41,0.489,0.4,0.5,0.667,0.2,0.9,1.1,0.5,0.2,0.1,0.4,0.6,3.2,9,0.509,0.185,2.7,11,6.9,7.4,1.3,1,11.1,16.2,0.1,0.3,0.3,0.028,-2.8,-2.4,-5.1,-0.5,"malikbeasley"
"30","Michael Beasley\beaslmi01","NYK","PF",74,30,22.3,5.5,10.9,0.507,0.528,1.7,2.1,0.78,1.3,4.3,5.6,1.7,0.5,0.6,1.9,2,13.2,17.8,0.556,0.197,6.5,21.2,13.9,12.5,1.1,2.3,14,26.9,0.9,1.5,2.4,0.069,-1,-0.4,-1.5,0.2,"michaelbeasley"
