fix,Tm,Pos,G,GS,MP,FG,FGA,FG.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS.G,PER,TS.,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,average salary,Year
rasualbutler,IND,SG,50,2,7.6,1.0,2.2,0.46399999999999997,0.5820000000000001,0.2,0.3,0.5710000000000001,0.1,0.7,0.8,0.3,0.1,0.2,0.2,0.6,2.7,12.2,0.585,0.127,1.9,9.9,6.1,7.4,1.0,1.8,8.7,15.4,0.5,0.6,1.1,0.138,-0.6,-0.3,-0.9,0.1,1448490,2014
willbynum,DET,PG,56,3,18.8,3.3,7.7,0.428,0.451,1.7,2.2,0.802,0.4,1.3,1.8,3.9,0.7,0.1,1.8,2.2,8.7,14.4,0.502,0.281,2.4,8.2,5.1,32.5,1.9,0.5,17.6,23.8,0.6,0.4,1.0,0.047,-0.7,-2.8,-3.5,-0.4,72234,2014
nickcalathes,MEM,SG,71,7,16.5,2.0,4.4,0.457,0.48700000000000004,0.6,1.0,0.611,0.3,1.6,1.9,2.9,0.9,0.1,1.4,1.6,4.9,12.3,0.506,0.23199999999999998,2.3,11.5,6.9,26.5,3.0,0.6,22.8,17.5,-0.1,1.6,1.5,0.062,-1.9,0.8,-1.1,0.3,653331,2014
josecalderon,DAL,PG,81,81,30.5,4.2,9.2,0.456,0.584,0.6,0.8,0.825,0.4,2.0,2.4,4.7,0.9,0.1,1.3,1.7,11.4,15.2,0.596,0.084,1.4,7.6,4.5,22.4,1.4,0.4,11.7,16.2,5.4,0.8,6.3,0.122,3.3,-2.0,1.3,2.1,7250000,2014
kentaviouscaldwellpope,DET,SG,80,41,19.8,2.3,5.8,0.396,0.46,0.6,0.8,0.77,0.5,1.5,2.0,0.7,0.9,0.2,0.4,1.8,5.9,9.4,0.483,0.133,2.5,8.6,5.4,5.0,2.4,0.6,5.4,13.9,1.0,0.8,1.8,0.055,-1.2,-0.8,-2.1,0.0,2998910,2014
demarrecarroll,ATL,SF,73,73,32.1,4.1,8.8,0.47,0.546,1.5,1.9,0.773,1.5,4.1,5.5,1.8,1.5,0.3,1.1,2.6,11.1,13.9,0.575,0.22,5.3,14.5,10.0,8.9,2.3,0.7,10.1,15.2,3.2,2.6,5.8,0.11900000000000001,1.0,1.1,2.1,2.4,2500000,2014
vincecarter,DAL,SG,81,0,24.4,4.1,10.0,0.40700000000000003,0.49700000000000005,2.0,2.4,0.821,0.8,2.7,3.5,2.6,0.8,0.4,1.3,2.6,11.9,15.9,0.539,0.242,4.0,12.6,8.3,16.5,1.6,1.5,10.7,23.1,3.0,1.3,4.3,0.105,2.2,-1.0,1.1,1.6,4088019,2014
michaelcarterwilliams,PHI,PG,70,70,34.5,6.1,15.1,0.405,0.431,3.7,5.2,0.703,1.4,4.8,6.2,6.3,1.9,0.6,3.5,3.0,16.7,15.5,0.48,0.348,4.3,15.6,9.8,30.2,2.6,1.4,16.9,25.7,-0.8,2.1,1.3,0.026000000000000002,-0.6,0.4,-0.2,1.1,2520882,2014
omricasspi,HOU,PF,71,2,18.1,2.4,5.8,0.42200000000000004,0.496,1.2,1.7,0.68,0.8,2.9,3.7,1.2,0.6,0.2,1.0,1.4,6.9,12.9,0.528,0.298,5.1,16.8,11.3,10.5,1.7,0.8,13.4,18.3,1.0,1.4,2.4,0.091,-0.6,-0.2,-0.8,0.4,1063384,2014
mariochalmers,MIA,PG,73,73,29.8,3.5,7.7,0.45399999999999996,0.531,1.7,2.2,0.742,0.6,2.4,2.9,4.9,1.6,0.2,2.2,2.9,9.8,14.0,0.5670000000000001,0.29100000000000004,2.5,9.6,6.2,24.3,2.9,0.6,20.4,17.4,2.4,2.5,4.8,0.106,1.0,0.2,1.2,1.7,4150000,2014
tysonchandler,NYK,C,55,55,30.2,3.5,5.9,0.593,0.593,1.8,2.8,0.632,2.9,6.7,9.6,1.1,0.7,1.1,1.3,2.6,8.7,16.4,0.615,0.48100000000000004,10.9,27.0,18.7,5.5,1.2,3.4,15.4,12.9,3.1,1.9,4.9,0.14300000000000002,-0.6,1.8,1.3,1.4,13852363,2014
wilsonchandler,DEN,SF,62,55,31.1,5.0,11.9,0.41600000000000004,0.499,1.8,2.5,0.7240000000000001,0.9,3.8,4.7,1.8,0.7,0.5,1.3,3.1,13.6,12.4,0.526,0.20600000000000002,3.2,13.3,8.2,9.3,1.2,1.2,8.9,19.5,1.8,1.2,3.1,0.076,0.7,-0.6,0.2,1.1,6344163,2014
norriscole,MIA,PG,82,6,24.6,2.5,6.1,0.414,0.474,0.6,0.8,0.779,0.2,1.7,2.0,3.0,0.9,0.1,1.5,1.9,6.4,8.8,0.49700000000000005,0.136,1.1,8.6,5.0,17.9,2.0,0.2,19.3,15.6,-0.5,1.7,1.2,0.028999999999999998,-2.2,-0.8,-3.0,-0.5,1082560,2014
darrencollison,LAC,PG,80,35,25.9,4.1,8.7,0.467,0.518,2.4,2.8,0.857,0.6,1.8,2.4,3.7,1.2,0.2,1.7,1.9,11.4,16.2,0.575,0.32299999999999995,2.6,7.3,5.0,21.9,2.2,0.6,14.3,19.7,3.8,2.0,5.9,0.136,1.4,-0.4,1.0,1.6,5013559,2014
nickcollison,OKC,PF,81,0,16.7,1.7,3.0,0.556,0.564,0.8,1.1,0.71,1.4,2.2,3.6,1.3,0.4,0.3,0.9,2.3,4.2,11.8,0.599,0.386,10.2,14.1,12.2,10.9,1.1,1.7,20.1,11.6,2.0,1.6,3.6,0.128,-0.5,1.1,0.6,0.9,2757500,2014
mikeconley,MEM,PG,73,73,33.5,6.3,14.1,0.45,0.5,3.1,3.8,0.815,0.6,2.4,2.9,6.0,1.5,0.2,2.1,1.9,17.2,20.0,0.545,0.268,2.0,8.4,5.2,30.1,2.4,0.4,11.5,24.6,5.5,2.7,8.2,0.161,4.1,-0.7,3.4,3.3,8000000,2014
chriscopeland,IND,SF,41,0,6.5,1.3,2.9,0.47,0.611,0.2,0.3,0.7140000000000001,0.2,0.6,0.8,0.4,0.1,0.2,0.3,0.9,3.7,17.6,0.621,0.12,3.1,10.1,6.8,12.6,0.6,2.0,10.2,23.7,0.6,0.4,1.0,0.18600000000000003,3.5,-2.1,1.4,0.2,3067500,2014
demarcuscousins,SAC,C,71,71,32.4,8.3,16.8,0.496,0.496,6.1,8.4,0.726,3.1,8.6,11.7,2.9,1.5,1.3,3.5,3.8,22.7,26.1,0.555,0.5,10.6,30.5,20.4,17.8,2.4,3.2,14.7,32.7,4.1,3.8,7.9,0.166,1.9,2.9,4.7,3.9,16404925,2014
jamalcrawford,LAC,SG,69,24,30.3,6.1,14.7,0.41600000000000004,0.496,4.0,4.7,0.866,0.5,1.8,2.3,3.2,0.9,0.2,2.0,1.7,18.6,17.3,0.556,0.318,1.9,6.4,4.2,17.4,1.4,0.4,10.5,27.2,3.8,1.5,5.3,0.122,2.7,-2.6,0.2,1.2,5337500,2014
jaecrowder,DAL,SF,78,8,16.1,1.7,3.8,0.439,0.524,0.6,0.8,0.754,0.6,1.9,2.5,0.8,0.8,0.3,0.5,1.3,4.6,11.9,0.551,0.20600000000000002,4.3,13.5,8.9,6.7,2.4,1.4,11.3,13.2,1.2,1.1,2.3,0.08900000000000001,0.0,0.6,0.6,0.8,768202,2014
dantecunningham,MIN,PF,81,7,20.2,2.9,6.3,0.46399999999999997,0.46399999999999997,0.5,0.8,0.5670000000000001,1.4,2.7,4.1,1.0,0.8,0.7,0.5,1.8,6.3,12.6,0.474,0.132,7.3,14.9,11.0,7.7,1.9,2.7,7.2,15.1,0.9,2.0,2.9,0.085,-2.2,2.1,-0.1,0.8,831942,2014
stephencurry,GSW,PG,78,78,36.5,8.4,17.7,0.47100000000000003,0.5660000000000001,3.9,4.5,0.885,0.6,3.7,4.3,8.5,1.6,0.2,3.8,2.5,24.0,24.1,0.61,0.252,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,9.3,4.0,13.4,0.225,7.4,0.0,7.4,6.7,11000000,2014
luigidatome,DET,SF,34,0,7.0,1.0,2.9,0.35100000000000003,0.387,0.2,0.3,0.8,0.4,0.9,1.4,0.3,0.2,0.0,0.3,0.6,2.4,8.0,0.409,0.10300000000000001,6.1,15.5,10.6,7.0,1.3,0.3,9.8,20.2,-0.2,0.1,-0.1,-0.023,-3.8,-3.2,-7.0,-0.3,1750000,2014
anthonydavis,NOP,PF,67,66,35.2,7.8,15.0,0.519,0.52,5.2,6.6,0.7909999999999999,3.1,7.0,10.0,1.6,1.3,2.8,1.6,3.0,20.8,26.5,0.5820000000000001,0.43799999999999994,10.0,23.3,16.6,8.0,2.0,6.7,8.3,25.2,7.2,3.2,10.4,0.212,2.3,2.2,4.5,3.9,5799503,2014
eddavis,MEM,PF,63,4,15.2,2.5,4.6,0.534,0.534,0.7,1.4,0.528,1.5,2.7,4.1,0.4,0.3,0.7,0.6,1.8,5.7,15.9,0.542,0.307,11.4,20.9,16.1,4.5,0.9,3.7,10.8,17.8,1.2,1.4,2.6,0.129,-1.9,0.5,-1.3,0.2,1040843,2014
matthewdellavedova,CLE,SG,72,4,17.7,1.7,4.1,0.41200000000000003,0.508,0.5,0.7,0.792,0.4,1.3,1.7,2.6,0.5,0.1,0.8,1.7,4.7,10.7,0.534,0.162,2.5,8.5,5.4,22.1,1.3,0.3,15.9,13.2,1.4,0.7,2.1,0.078,-0.5,-1.7,-2.1,0.0,653331,2014
demarderozan,TOR,SG,79,79,38.2,7.6,17.8,0.429,0.452,6.6,8.0,0.8240000000000001,0.6,3.7,4.3,4.0,1.1,0.4,2.2,2.5,22.7,18.4,0.532,0.44799999999999995,2.0,11.3,6.6,18.9,1.5,0.7,9.5,28.0,5.8,3.0,8.8,0.141,1.4,-0.7,0.7,2.0,9500000,2014
borisdiaw,SAS,PF,79,24,25.0,3.8,7.3,0.521,0.5589999999999999,0.9,1.2,0.7390000000000001,0.9,3.2,4.1,2.8,0.6,0.4,1.5,1.8,9.1,14.1,0.578,0.159,4.4,13.8,9.3,16.3,1.1,1.2,16.3,17.0,2.3,2.6,4.9,0.12,0.2,1.4,1.6,1.8,7000000,2014
gorguidieng,MIN,C,60,15,13.6,1.9,3.8,0.498,0.5,1.0,1.6,0.634,1.7,3.3,5.0,0.7,0.5,0.8,0.9,1.8,4.8,16.5,0.534,0.41,13.4,26.9,20.0,7.2,1.8,4.6,16.8,16.8,0.7,1.5,2.2,0.129,-2.4,3.1,0.7,0.5,1647336,2014
