"","Player","Rk.x","Pos","Age.x","Tm","G.x","GS","MP.x","FG.x","FGA.x","FG%.x","3P.x","3PA.x","3P%.x","2P","2PA","2P%","eFG%","FT.x","FTA.x","FT%.x","ORB.x","DRB","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","PS/G","Rk.y","Age.y","Yrs","G.y","MP.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS","FG%.y","3P%.y","FT%.y","MP_1","PTS_1","TRB_1","AST_1"
"70","Kevon Looney\looneke01",301,"C",21,"GSW",66,4,13.8,1.7,2.9,0.58,0,0.1,0.2,1.7,2.8,0.59,0.583,0.6,1.2,0.545,1.3,2,3.3,0.6,0.5,0.8,0.5,1.6,4,34,19,3,124,1378,172,307,4,16,63,111,131,349,71,49,73,49,172,411,0.56,0.25,0.568,11.1,3.3,2.8,0.6
"71","Kristaps Porzingis\porzikr01",411,"PF",22,"NYK",48,48,32.4,8.1,18.5,0.439,1.9,4.8,0.395,6.3,13.8,0.454,0.489,4.5,5.7,0.793,1.3,5.3,6.6,1.2,0.8,2.4,1.9,2.9,22.7,55,20,3,186,5764,1206,2760,283,785,617,767,305,1317,248,136,378,332,590,3312,0.437,0.361,0.804,31,17.8,7.1,1.3
"72","Larry Nance\nancela02",364,"C",25,"LAL",42,17,22,3.6,6,0.601,0,0.1,0.25,3.6,5.9,0.606,0.603,1.3,2.1,0.632,2.6,4.2,6.8,1.4,1.4,0.5,1,2.7,8.6,46,23,3,192,4129,588,1074,13,58,182,264,382,1133,222,224,100,148,445,1371,0.547,0.224,0.689,21.5,7.1,5.9,1.2
"73","Larry Nance\nancela02",364,"C",25,"TOT",66,27,21.5,3.6,6.3,0.581,0,0.2,0.167,3.6,6.1,0.594,0.584,1.4,2.1,0.664,2.4,4.4,6.8,1.2,1.3,0.6,0.8,2.6,8.7,46,23,3,192,4129,588,1074,13,58,182,264,382,1133,222,224,100,148,445,1371,0.547,0.224,0.689,21.5,7.1,5.9,1.2
"74","Mario Hezonja\hezonma01",213,"SF",22,"ORL",75,30,22.1,3.6,8.2,0.442,1.2,3.6,0.337,2.4,4.7,0.523,0.515,1.1,1.4,0.819,0.5,3.2,3.7,1.4,1.1,0.4,1.1,1.8,9.6,21,20,3,219,4030,571,1365,200,603,175,209,89,603,277,150,63,241,332,1517,0.418,0.332,0.837,18.4,6.9,2.8,1.3
"75","Montrezl Harrell\harremo01",196,"C",24,"LAC",76,3,17,4.6,7.2,0.635,0,0.1,0.143,4.6,7.1,0.641,0.636,1.8,2.9,0.626,1.4,2.7,4,1,0.5,0.7,0.9,1.9,11,19,22,3,173,2736,631,983,2,15,239,389,209,590,155,67,105,129,317,1503,0.642,0.133,0.614,15.8,8.7,3.4,0.9
"76","Myles Turner\turnemy01",486,"C",21,"IND",65,62,28.2,4.7,9.8,0.479,0.9,2.4,0.357,3.8,7.4,0.519,0.523,2.5,3.2,0.777,1.4,5,6.4,1.3,0.6,1.8,1.5,2.9,12.7,66,19,3,206,5744,1014,2038,99,286,493,630,300,1338,234,137,376,268,606,2620,0.498,0.346,0.783,27.9,12.7,6.5,1.1
"77","Nemanja Bjelica\bjeline01",49,"PF",29,"MIN",67,21,20.5,2.6,5.5,0.461,1.1,2.7,0.415,1.4,2.8,0.505,0.563,0.5,0.7,0.8,0.8,3.3,4.1,1.3,0.7,0.2,0.8,2.1,6.8,5,27,3,192,3636,432,962,180,485,121,161,159,728,248,116,57,158,449,1165,0.449,0.371,0.752,18.9,6.1,3.8,1.3
"78","Nikola Jokic\jokicni01",263,"C",22,"DEN",75,73,32.6,6.7,13.5,0.499,1.5,3.7,0.396,5.2,9.7,0.538,0.554,3.5,4.2,0.85,2.6,8.1,10.7,6.1,1.2,0.8,2.8,2.8,18.5,30,20,3,228,6214,1305,2464,184,503,608,731,588,2081,1006,230,166,485,634,3402,0.53,0.366,0.832,27.3,14.9,9.1,4.4
"79","Norman Powell\powelno01",413,"SG",24,"TOR",70,18,15.2,2.1,5.3,0.401,0.8,2.7,0.285,1.4,2.7,0.516,0.472,0.5,0.6,0.821,0.2,1.5,1.7,1.3,0.5,0.2,0.9,1.6,5.5,56,22,3,195,3155,474,1109,145,448,201,251,56,399,218,118,40,168,297,1294,0.427,0.324,0.801,16.2,6.6,2,1.1
"80","Pat Connaughton\connapa01",107,"SG",25,"POR",82,5,18.1,2,4.8,0.423,0.9,2.6,0.352,1.1,2.2,0.506,0.518,0.5,0.5,0.841,0.4,1.5,2,1.1,0.3,0.3,0.5,1.5,5.4,11,23,3,155,1947,215,511,96,264,49,58,57,245,129,31,24,70,149,575,0.421,0.364,0.845,12.6,3.7,1.6,0.8
"81","Rashad Vaughn\vaughra01",492,"SG",21,"TOT",28,0,7.6,0.8,2,0.411,0.5,1.3,0.378,0.3,0.7,0.474,0.536,0.1,0.2,0.667,0.1,0.6,0.8,0.5,0.2,0.1,0.2,0.5,2.3,67,19,3,139,1671,161,478,83,265,18,26,18,158,75,53,29,48,120,423,0.337,0.313,0.692,12,3,1.1,0.5
"82","Raul Neto\netora01",367,"PG",25,"UTA",41,0,12.1,1.7,3.7,0.457,0.5,1.1,0.404,1.2,2.5,0.481,0.52,0.6,0.9,0.743,0.2,1,1.2,1.8,0.3,0.1,0.9,0.9,4.5,47,23,3,162,2343,290,660,93,240,86,114,28,199,283,96,11,160,208,759,0.439,0.388,0.754,14.5,4.7,1.2,1.7
"83","Richaun Holmes\holmeri01",224,"C",24,"PHI",48,2,15.5,2.8,5,0.56,0.1,0.6,0.129,2.7,4.4,0.624,0.568,0.8,1.2,0.661,1.2,3.2,4.4,1.3,0.4,0.6,0.5,2,6.5,24,22,3,156,2641,479,875,39,152,160,233,213,657,152,81,124,112,325,1157,0.547,0.257,0.687,16.9,7.4,4.2,1
"84","Rondae Hollis-Jefferson\holliro01",223,"SF",23,"BRK",68,59,28.2,5,10.6,0.472,0.2,0.8,0.241,4.8,9.9,0.491,0.481,3.7,4.6,0.788,1.5,5.3,6.8,2.5,1,0.7,1.8,2.1,13.9,23,21,3,175,4296,640,1404,32,135,476,621,236,1065,364,186,108,263,383,1788,0.456,0.237,0.767,24.5,10.2,6.1,2.1
"85","Salah Mejri\mejrisa01",334,"C",31,"DAL",61,1,12,1.4,2.2,0.642,0,0,0,1.4,2.2,0.657,0.642,0.6,1.1,0.576,1.4,2.6,4,0.6,0.4,1.1,0.6,2,3.5,41,29,3,168,2031,225,352,1,7,101,173,223,677,59,62,164,102,327,552,0.639,0.143,0.584,12.1,3.3,4,0.4
"86","Sam Dekker\dekkesa01",126,"PF",23,"LAC",73,1,12.1,1.8,3.5,0.494,0.1,0.8,0.167,1.6,2.7,0.593,0.514,0.5,0.8,0.661,0.6,1.8,2.4,0.5,0.3,0.1,0.5,1,4.2,14,21,3,153,2308,331,688,70,247,75,124,138,459,114,63,30,74,154,807,0.481,0.283,0.605,15.1,5.3,3,0.7
"87","Stanley Johnson\johnsst04",260,"SF",21,"DET",69,50,27.4,3,8.1,0.375,1,3.4,0.286,2.1,4.7,0.439,0.435,1.6,2.1,0.772,0.5,3.2,3.7,1.6,1.4,0.2,1.1,2.4,8.7,29,19,3,219,4952,564,1525,175,593,228,300,127,747,335,206,50,262,468,1531,0.37,0.295,0.76,22.6,7,3.4,1.5
"88","T.J. McConnell\mccontj01",323,"PG",25,"PHI",76,1,22.4,2.8,5.5,0.499,0.4,0.8,0.435,2.4,4.7,0.51,0.531,0.4,0.5,0.795,0.5,2.5,3,4,1.2,0.2,1.5,1.6,6.3,38,23,3,238,5445,664,1397,69,206,130,170,119,727,1204,321,33,411,375,1527,0.475,0.335,0.765,22.9,6.4,3.1,5.1
