"","player","i","pos","age","team","g","gs","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp","avg_salary","contract_year"
"1088","DeAndre Jordan",2012,"C",23,"LAC",66,66,27.2,3.1,4.9,0.632,0,0,0,3.1,4.9,0.634,0.632,1.1,2.1,0.525,3.1,5.2,0.3,0.5,2,1.1,2.9,7.4,1798,16.4,0.626,0.003,0.433,13.2,23,1.5,0.9,6.2,16,11.9,3.2,2.4,5.6,0.15,-1.1,2.1,1.4,10759764,0
"1089","DeAndre Jordan",2013,"C",24,"LAC",82,82,24.5,3.8,6,0.643,0,0,NA,3.8,6,0.643,0.643,1.2,3,0.386,2.6,4.7,0.3,0.6,1.4,1.2,2.3,8.8,2010,17.2,0.606,0,0.51,12.7,22.4,2.2,1.3,4.7,14.3,15.9,3,3.2,6.2,0.148,-0.8,1.1,1.2,10759764,0
"1090","DeAndre Jordan",2014,"C",25,"LAC",82,82,35,4.2,6.3,0.676,0,0,NA,4.2,6.3,0.676,0.676,2,4.6,0.428,4,9.5,0.9,1,2.5,1.5,3.2,10.4,2870,18.2,0.63,0,0.726,13.3,29.3,3.7,1.4,5.4,15.3,12.4,5.3,5.8,11.1,0.186,-0.1,4.2,4.4,10759764,0
"1091","DeAndre Jordan",2015,"C",26,"LAC",82,82,34.4,4.6,6.5,0.71,0,0,0.25,4.6,6.5,0.713,0.711,2.3,5.7,0.397,4.8,10.1,0.7,1,2.2,1.3,3,11.5,2820,21,0.638,0.007,0.882,16.2,32.4,3.2,1.5,5.4,12.8,13.6,7.4,5.4,12.8,0.217,0.9,3.2,4.3,10759764,1
"1092","DeAndre Jordan",2016,"C",27,"LAC",77,77,33.7,4.6,6.6,0.703,0,0,0,4.6,6.6,0.704,0.703,3.5,8,0.43,3.5,10.3,1.2,0.7,2.3,1.4,2.7,12.7,2598,20.6,0.628,0.002,1.219,11.4,32.7,5.3,1,5.4,12.1,15.4,6,5.5,11.5,0.213,-0.4,3.8,3.5,21904013,0
"1093","DeAndre Jordan",2017,"C",28,"LAC",81,81,31.7,5.1,7.1,0.714,0,0,0,5.1,7.1,0.717,0.714,2.5,5.2,0.482,3.7,10.1,1.2,0.6,1.7,1.4,2.6,12.7,2570,21.8,0.673,0.003,0.737,13.3,34.6,5.7,1,4.3,13.1,15.3,7.2,4.6,11.8,0.221,1,3,3.9,21904013,0
"1094","DeAndre Jordan",2018,"C",29,"LAC",77,77,31.5,4.8,7.5,0.645,0,0,NA,4.8,7.5,0.645,0.645,2.4,4.1,0.58,4.3,10.9,1.5,0.5,0.9,1.8,2.6,12,2424,20.2,0.648,0,0.54,15.1,37.6,7.1,0.8,2.4,16.1,15.2,6,3.4,9.4,0.186,0.5,1.6,2.5,21904013,0
"1095","DeAndre Liggins",2012,"SF",23,"ORL",17,0,6.8,0.7,1.5,0.48,0,0.2,0,0.7,1.2,0.571,0.48,0.5,1.1,0.474,0.4,0.5,0.3,0.4,0,0.6,0.4,1.9,115,8.9,0.495,0.16,0.76,5.9,9.2,7.1,2.8,0,23.1,17.7,-0.1,0.1,0,0,-4.5,0.1,-0.1,473604,1
"1096","DeAndre Liggins",2013,"SG",24,"OKC",39,1,7.4,0.5,1.2,0.447,0.2,0.5,0.368,0.4,0.7,0.5,0.521,0.2,0.5,0.5,0.3,1,0.4,0.5,0.1,0.4,0.8,1.5,290,9.4,0.528,0.404,0.383,5.5,14.7,7.2,3.2,0.8,20.3,10.8,0.1,0.5,0.6,0.092,-1.6,1.5,0.1,823244,0
"1097","DeAndre Liggins",2014,"SG",25,"MIA",1,0,1,1,1,1,0,0,NA,1,1,1,1,0,0,NA,1,0,0,0,0,0,0,2,1,129.1,1,0,0,100,0,0,0,0,0,47.8,0,0,0,2.123,47.8,-23.1,0,5202,0
