"","fix","X1","Player","Rk.x","Pos","Age.x","Tm","G.x","GS","MP.x","FG.x","FGA.x","FG%.x","3P.x","3PA.x","3P%.x","2P","2PA","2P%","eFG%","FT.x","FTA.x","FT%.x","ORB.x","DRB","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","PS/G","Rk.y","Age.y","Yrs","G.y","MP.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS","FG%.y","3P%.y","FT%.y","MP_1","PTS_1","TRB_1","AST_1","average salary"
"146","semiojeleye",188,"Semi Ojeleye\ojelese01",379,"PF",23,"BOS",73,0,15.8,0.9,2.6,0.346,0.5,1.7,0.32,0.3,0.9,0.397,0.452,0.3,0.6,0.61,0.5,1.7,2.2,0.3,0.3,0.1,0.3,1.2,2.7,85,23,1,73,1150,65,188,40,125,25,41,37,161,20,21,4,25,91,195,0.346,0.32,0.61,15.8,2.7,2.2,0.3,1510401
"147","shabazznapier",42,"Shabazz Napier\napiesh01",365,"PG",26,"POR",74,10,20.7,3,7.2,0.42,1.1,2.9,0.376,1.9,4.2,0.45,0.497,1.6,1.9,0.841,0.4,1.9,2.3,2,1.1,0.2,1.2,1.1,8.7,56,23,4,233,3659,451,1143,193,532,231,288,60,399,444,176,21,258,236,1326,0.395,0.363,0.802,15.7,5.7,1.7,1.9,1561140
"148","sindariusthornwell",189,"Sindarius Thornwell\thornsi01",481,"SG",23,"LAC",73,17,15.8,1.4,3.2,0.429,0.3,0.8,0.377,1.1,2.4,0.448,0.479,0.8,1.2,0.67,0.5,1.5,1.9,0.9,0.7,0.3,0.7,1.7,3.9,107,23,1,73,1156,100,233,23,61,59,88,33,140,68,48,25,53,125,282,0.429,0.377,0.67,15.8,3.9,1.9,0.9,1270792
"149","skallabissiere",132,"Skal Labissiere\labissk01",282,"PF",21,"SAC",60,28,20.7,3.4,7.6,0.448,0.3,0.9,0.353,3.1,6.8,0.459,0.467,1.6,2,0.805,1.7,3.2,4.8,1.2,0.4,0.8,1.2,2.2,8.7,44,20,2,93,1852,322,676,21,59,147,192,150,450,99,41,62,110,196,812,0.476,0.356,0.766,19.9,8.7,4.8,1.1,1215540
"150","spencerdinwiddie",43,"Spencer Dinwiddie\dinwisp01",133,"PG",24,"BRK",80,58,28.8,4.1,10.5,0.387,1.8,5.4,0.326,2.3,5.1,0.452,0.471,2.7,3.4,0.813,0.5,2.7,3.2,6.6,0.9,0.3,1.6,2.3,12.6,19,21,4,185,4254,528,1363,192,609,394,494,75,488,835,134,52,234,378,1642,0.387,0.315,0.798,23,8.9,2.6,4.5,967911
"151","stanleyjohnson",87,"Stanley Johnson\johnsst04",260,"SF",21,"DET",69,50,27.4,3,8.1,0.375,1,3.4,0.286,2.1,4.7,0.439,0.435,1.6,2.1,0.772,0.5,3.2,3.7,1.6,1.4,0.2,1.1,2.4,8.7,29,19,3,219,4952,564,1525,175,593,228,300,127,747,335,206,50,262,468,1531,0.37,0.295,0.76,22.6,7,3.4,1.5,2969880
"152","sterlingbrown",190,"Sterling Brown\brownst02",73,"SG",22,"MIL",54,4,14.4,1.5,3.8,0.4,0.6,1.7,0.352,0.9,2.1,0.439,0.478,0.4,0.4,0.875,0.5,2.1,2.6,0.5,0.6,0.2,0.5,1.5,4,18,22,1,54,776,82,205,32,91,21,24,27,143,25,31,13,25,80,217,0.4,0.352,0.875,14.4,4,2.6,0.5,1270792
"153","tarikblack",45,"Tarik Black\blackta01",50,"C",26,"HOU",51,2,10.5,1.5,2.5,0.591,0,0.2,0.091,1.5,2.3,0.638,0.594,0.6,1.2,0.46,1.2,2,3.2,0.3,0.4,0.6,0.7,2.1,3.5,7,23,4,220,3319,439,798,2,14,195,335,393,1031,110,83,116,163,516,1075,0.55,0.143,0.582,15.1,4.9,4.7,0.5,3290000
"154","terranceferguson",192,"Terrance Ferguson\fergute01",159,"SG",19,"OKC",61,12,12.5,1.1,2.8,0.414,0.7,2,0.333,0.5,0.8,0.612,0.533,0.1,0.2,0.9,0.3,0.5,0.8,0.3,0.4,0.2,0.2,1.4,3.1,35,19,1,61,763,70,169,40,120,9,10,19,47,19,24,10,11,83,189,0.414,0.333,0.9,12.5,3.1,0.8,0.3,1951920
"155","terryrozier",89,"Terry Rozier\roziete01",435,"PG",23,"BOS",80,16,25.9,4,10,0.395,1.9,5,0.381,2,5,0.41,0.491,1.4,1.9,0.772,0.8,3.9,4.7,2.9,1,0.2,1,1.5,11.3,59,21,3,193,3642,496,1317,216,608,174,225,127,666,400,132,31,146,215,1382,0.377,0.355,0.773,18.9,7.2,3.5,2.1,1906440
